STATION,DATE,TMAX,TMIN,PRCP,hr,dow,mon,doy,y_lag1,y_lag2,y_lag3,y_lag365,y_lag730,y_lag1460,y_ma_season,y_sd_season,y_diff1,TMIN_lag_season,PRCP_lag_season,y_h1,y_h2,y_h3
USC480008,2020-01-01,34.37512611641838,23.589741280180313,0.9952776631709441,0,3,1,1,,,,,,,34.37512611641838,,,,,26.532876757054773,28.39906019100675,24.130140652909954
USC480008,2020-01-02,26.532876757054773,19.3556823737472,0.0,0,4,1,2,34.37512611641838,,,,,,30.454001436736576,5.545307701761864,-7.842249359363606,,,28.39906019100675,24.130140652909954,31.2260619537503
USC480008,2020-01-03,28.39906019100675,18.03617914831821,0.0,0,5,1,3,26.532876757054773,34.37512611641838,,,,,29.7690210214933,4.096683202471271,1.8661834339519778,,,24.130140652909954,31.2260619537503,29.558432262824603
USC480008,2020-01-04,24.130140652909954,18.739932912970342,0.0,0,6,1,4,28.39906019100675,26.532876757054773,34.37512611641838,,,,28.359300929347466,4.374675431054535,-4.268919538096796,,,31.2260619537503,29.558432262824603,33.811923246206696
USC480008,2020-01-05,31.2260619537503,23.469934444756944,0.0,0,0,1,5,24.130140652909954,28.39906019100675,26.532876757054773,,,,28.93265313422803,3.9996253073895778,7.095921300840345,,,29.558432262824603,33.811923246206696,35.32365461362441
USC480008,2020-01-06,29.558432262824603,23.66635048826782,0.0,0,1,1,6,31.2260619537503,24.130140652909954,28.39906019100675,,,,29.03694965566079,3.58648416501548,-1.667629690925697,,,33.811923246206696,35.32365461362441,36.96579399587163
USC480008,2020-01-07,33.811923246206696,22.767084898761176,0.0,0,2,1,7,29.558432262824603,31.2260619537503,24.130140652909954,,,,29.719088740024493,3.7384827583532894,4.253490983382093,,,35.32365461362441,36.96579399587163,34.546791382465464
USC480008,2020-01-08,35.32365461362441,23.548087165750427,0.0,0,3,1,8,33.811923246206696,29.558432262824603,31.2260619537503,,,,30.41965947422448,3.9882377742845203,1.5117313674177169,,,36.96579399587163,34.546791382465464,29.19248100302895
USC480008,2020-01-09,36.96579399587163,29.686484015564808,0.0,0,4,1,9,35.32365461362441,33.811923246206696,29.558432262824603,,,,31.1470077544075,4.321933035386819,1.6421393822472155,,,34.546791382465464,29.19248100302895,23.511487395623178
USC480008,2020-01-10,34.546791382465464,22.624752756980357,3.1342166901843513,0,5,1,10,36.96579399587163,35.32365461362441,33.811923246206696,,,,31.4869861172133,4.214202404367525,-2.419002613406164,,,29.19248100302895,23.511487395623178,28.86200171124764
