STATION,mean,std,min,max,count
USC480007,29.783687504100428,7.479403317960135,10.720820898371628,49.28316868084436,1827
USC480006,29.837624362595054,7.532399014806081,9.40410315390189,49.65784786023224,1827
USC480010,29.838332111556465,7.52551657547042,8.824553116895682,49.96383604594131,1827
USC480002,29.87775994193541,7.511357883712575,10.332018558915635,50.02406231533249,1827
USC480009,30.06514677259789,7.505808003683423,10.077698743627693,50.3437141635025,1827
USC480003,30.080769942075783,7.451617664746566,9.553729106408593,50.498186871983556,1827
USC480004,30.09582390045703,7.533285594645717,10.135110009726167,50.291921473964365,1827
USC480005,30.09746002824035,7.2852123799514565,9.42588537147353,49.877682473152404,1827
USC480008,30.158898129956768,7.473292485395629,9.702090255809566,50.25102627796511,1827
USC480001,30.198696063743032,7.360558511873888,8.961236467328607,49.089448857237734,1827
